O3D_run (O3D CBIOP_WGS_PRAD_EURUROL_2017)	282.9%	25.3 GB	48.8s
O3D_run (O3D CBIOP_WGS_STAD_ONCOSG_2018)	585.7%	41.4 GB	20m 50s
O3D_run (O3D CBIOP_WXS_ACY_2019)	438.3%	28.1 GB	1m 41s
O3D_run (O3D CBIOP_WXS_ACYC_MDA_2015)	617.4%	26.7 GB	54.1s
O3D_run (O3D CBIOP_WXS_ACYC_SANGER_2013)	229.3%	23.8 GB	15.1s
O3D_run (O3D CBIOP_WXS_ANGS_TREATED_2020)	779.9%	32.9 GB	7m 31s
O3D_run (O3D CBIOP_WXS_ANGS_UNTREAT_2020)	894.5%	30.4 GB	3m
O3D_run (O3D CBIOP_WXS_BCC_UNIGE_2016_TREAT)	518.6%	34.9 GB	10m 53s
O3D_run (O3D CBIOP_WXS_BCC_UNIGE_2016_UNTREAT)	902.3%	52.3 GB	1h 20m 6s
O3D_run (O3D CBIOP_WXS_BLCA_BGI)	484.7%	29.3 GB	6m 47s
O3D_run (O3D CBIOP_WXS_BLCA_DFARBER_MSKCC_2014)	534.3%	32.6 GB	10m 45s
O3D_run (O3D CBIOP_WXS_BLCA_UTUC_IGBMC_2021)	682.9%	28.5 GB	1m 49s
O3D_run (O3D CBIOP_WXS_BLCA_VALLEN_2018)	543.5%	29.6 GB	6m 41s
O3D_run (O3D CBIOP_WXS_BRCA_MBCP_MET_NOTREAT_2020)	405.2%	25.7 GB	2m 14s
O3D_run (O3D CBIOP_WXS_BRCA_MBCP_MET_TREAT_2020)	423.4%	26.1 GB	2m 5s
O3D_run (O3D CBIOP_WXS_BRCA_MBCP_PRY_NOTREAT_2020)	412.2%	26.2 GB	2m 16s
O3D_run (O3D CBIOP_WXS_BRCA_MBCP_PRY_TREAT_2020)	146.9%	24 GB	18.8s
O3D_run (O3D CBIOP_WXS_CLL_BROAD_2013)	390.3%	25.6 GB	1m 41s
O3D_run (O3D CBIOP_WXS_CLL_IUOPA_2015)	515.8%	30.3 GB	7m 5s
O3D_run (O3D CBIOP_WXS_CM_VALLEN_2018)	903.6%	50.8 GB	45m 31s
O3D_run (O3D CBIOP_WXS_CSCC_UCSF_2018)	791.7%	49.3 GB	47m 52s
O3D_run (O3D CBIOP_WXS_DLBC_BROAD_2012)	708.8%	30 GB	3m 5s
O3D_run (O3D CBIOP_WXS_DLBCL_DFCI_2018)	630.2%	31.9 GB	8m 46s
O3D_run (O3D CBIOP_WXS_EGC_TMUCIH_2015)	701.6%	31.9 GB	6m
O3D_run (O3D CBIOP_WXS_ESCA_BROAD)	944.2%	39.9 GB	10m 45s
O3D_run (O3D CBIOP_WXS_ESCA_EGC_TRAP_2020)	388.4%	27.1 GB	3m 37s
O3D_run (O3D CBIOP_WXS_HCC_AMC_PRV)	938.9%	40.3 GB	11m 55s
O3D_run (O3D CBIOP_WXS_HNSC_BROAD)	419.3%	30.1 GB	7m 34s
O3D_run (O3D CBIOP_WXS_HNSC_VALLEN_2018)	270.0%	26.6 GB	2m 14s
O3D_run (O3D CBIOP_WXS_LUAD_BROAD)	481.6%	41.5 GB	44m 19s
O3D_run (O3D CBIOP_WXS_LUAD_ONCOSG_2020)	913.2%	42.3 GB	15m 24s
O3D_run (O3D CBIOP_WXS_LUAD_VALLEN_2018)	618.3%	34.6 GB	9m 25s
O3D_run (O3D CBIOP_WXS_MM_BROAD_TREAT)	569.0%	27.3 GB	2m 33s
O3D_run (O3D CBIOP_WXS_MM_BROAD_UNTREAT)	237.9%	26.6 GB	5m 20s
O3D_run (O3D CBIOP_WXS_NSCLC_MSKCC_2018)	912.1%	36.7 GB	7m 23s
O3D_run (O3D CBIOP_WXS_PRAD_BROAD_2013)	430.3%	24.7 GB	48.7s
O3D_run (O3D CBIOP_WXS_PRAD_BROAD)	619.0%	31.4 GB	2m 42s
O3D_run (O3D CBIOP_WXS_PRAD_MSKCC_DCFI_2018_MET)	534.5%	40.9 GB	32m 26s
O3D_run (O3D CBIOP_WXS_PRAD_MSKCC_DCFI_2018_PRY)	789.4%	30.7 GB	5m 12s
O3D_run (O3D CBIOP_WXS_PRAD_SU2C_2019)	1039.2%	46.8 GB	23m 37s
O3D_run (O3D CBIOP_WXS_SCLC_CLCGP)	693.5%	29.1 GB	3m 55s
O3D_run (O3D CBIOP_WXS_SCLC_UCOLOGNE_2015)	885.4%	42.4 GB	18m 34s
O3D_run (O3D CBIOP_WXS_SKCM_BROAD)	1014.6%	42.3 GB	14m 15s
O3D_run (O3D CBIOP_WXS_VSC_CUK_2018)	874.0%	30.4 GB	1m 47s
O3D_run (O3D CGCI_WGS_BL_2020)	707.9%	28.3 GB	1m 21s
O3D_run (O3D CGCI_WGS_CESC_2020)	772.9%	44.2 GB	11m 32s
O3D_run (O3D CPTAC_WXS_BRCA_2020)	670.1%	32 GB	4m 51s
O3D_run (O3D CPTAC_WXS_CCRCC_2020)	834.7%	27.4 GB	2m 44s
O3D_run (O3D CPTAC_WXS_COAD_2020)	775.5%	31.4 GB	4m 48s
O3D_run (O3D CPTAC_WXS_GBM_2020)	872.4%	30.7 GB	2m 54s
O3D_run (O3D CPTAC_WXS_HNSC_2020)	842.8%	31.7 GB	7m 2s
O3D_run (O3D CPTAC_WXS_LUAD_2020)	978.1%	39.6 GB	14m 33s
O3D_run (O3D CPTAC_WXS_LUSC_2020)	1012.6%	38 GB	13m 27s
O3D_run (O3D CPTAC_WXS_OVT_2020)	607.3%	29 GB	3m 3s
O3D_run (O3D CPTAC_WXS_PAAD_2021)	822.3%	28.7 GB	2m 24s
O3D_run (O3D CPTAC_WXS_UCEC_2020)	811.0%	36.1 GB	9m 3s
O3D_run (O3D HARTWIG_WGS_ANSC_2023)	604.4%	25.8 GB	1m 2s
O3D_run (O3D HARTWIG_WGS_BLADDER_2023)	690.4%	27.7 GB	1m 18s
O3D_run (O3D HARTWIG_WGS_BLCA_2023)	952.2%	52.5 GB	20m 33s
O3D_run (O3D HARTWIG_WGS_BRCA_2023)	896.1%	66.8 GB	41m 27s
O3D_run (O3D HARTWIG_WGS_CEAD_2023)	671.3%	29.8 GB	3m 2s
O3D_run (O3D HARTWIG_WGS_CHOL_2023)	709.4%	28.7 GB	1m 44s
O3D_run (O3D HARTWIG_WGS_COAD_2023)	895.9%	40.9 GB	7m 30s
O3D_run (O3D HARTWIG_WGS_COADREAD_2023)	995.0%	65.6 GB	38m 40s
O3D_run (O3D HARTWIG_WGS_EGC_2023)	625.4%	28.6 GB	1m 17s
O3D_run (O3D HARTWIG_WGS_ESCC_2023)	664.0%	42.4 GB	17m 21s
O3D_run (O3D HARTWIG_WGS_GB_2023)	823.2%	30.5 GB	2m 29s
O3D_run (O3D HARTWIG_WGS_GBC_2023)	405.3%	25.6 GB	42.8s
O3D_run (O3D HARTWIG_WGS_GIST_2023)	477.0%	25.1 GB	44.3s
O3D_run (O3D HARTWIG_WGS_HCC_2023)	746.5%	31.1 GB	2m 12s
O3D_run (O3D HARTWIG_WGS_HNSC_2023)	674.9%	30.3 GB	1m 45s
O3D_run (O3D HARTWIG_WGS_LIPO_2023)	364.3%	26 GB	35s
O3D_run (O3D HARTWIG_WGS_LMS_2023)	450.2%	25.4 GB	46.4s
O3D_run (O3D HARTWIG_WGS_LUNG_2023)	320.8%	25.2 GB	34.4s
O3D_run (O3D HARTWIG_WGS_MT_2023)	652.1%	28.2 GB	1m 31s
O3D_run (O3D HARTWIG_WGS_NETNOS_2023)	606.1%	27.1 GB	1m 2s
O3D_run (O3D HARTWIG_WGS_NSCLC_2023)	1067.9%	73.5 GB	55m 5s
O3D_run (O3D HARTWIG_WGS_OVT_2023)	853.8%	37 GB	7m 21s
O3D_run (O3D HARTWIG_WGS_PANCREAS_2023)	842.3%	34.3 GB	4m 32s
O3D_run (O3D HARTWIG_WGS_PLMESO_2023)	267.2%	25.8 GB	34.4s
O3D_run (O3D HARTWIG_WGS_PROSTATE_2023)	893.2%	45.7 GB	13m 17s
O3D_run (O3D HARTWIG_WGS_RCC_2023)	669.3%	30 GB	4m 9s
O3D_run (O3D HARTWIG_WGS_READ_2023)	793.1%	34.5 GB	3m 4s
O3D_run (O3D HARTWIG_WGS_SACA_2023)	302.3%	25.7 GB	27.3s
O3D_run (O3D HARTWIG_WGS_SARCNOS_2023)	670.5%	27.2 GB	1m 1s
O3D_run (O3D HARTWIG_WGS_SCLC_2023)	870.1%	38 GB	7m 12s
O3D_run (O3D HARTWIG_WGS_SIC_2023)	368.9%	25.3 GB	33.5s
O3D_run (O3D HARTWIG_WGS_SKCM_2023)	1049.8%	63.2 GB	1h 2m 32s
O3D_run (O3D HARTWIG_WGS_SKIN_2023)	823.4%	32.7 GB	4m 57s
O3D_run (O3D HARTWIG_WGS_SOFT_TISSUE_2023)	541.1%	25.7 GB	41.6s
O3D_run (O3D HARTWIG_WGS_STOMACH_2023)	696.0%	28.7 GB	2m 24s
O3D_run (O3D HARTWIG_WGS_UCEC_2023)	578.7%	28 GB	1m 17s
O3D_run (O3D HARTWIG_WGS_UTUC_2023)	736.4%	31.1 GB	2m 21s
O3D_run (O3D HARTWIG_WGS_WDTC_2023)	431.0%	26.3 GB	37.4s
O3D_run (O3D ICGC_WGS_BRCA_BRCA_EU_2019)	920.0%	41.2 GB	11m 13s
O3D_run (O3D ICGC_WGS_BRCA_BRCA_FR_2019)	723.2%	28.9 GB	1m 30s
O3D_run (O3D ICGC_WGS_CCRCC_RECA_EU_2019)	825.2%	29.8 GB	48.8s
O3D_run (O3D ICGC_WGS_CLLSLL_CLLE_ES_2019)	442.2%	26.7 GB	52.8s
O3D_run (O3D ICGC_WGS_COADREAD_COCA_CN_VARSCAN_2019)	764.9%	30.3 GB	1m 20s
O3D_run (O3D ICGC_WGS_ES_BOCA_FR_AD_2019)	190.5%	23.7 GB	12.2s
O3D_run (O3D ICGC_WGS_ES_BOCA_FR_PED_2019)	249.9%	24.7 GB	19s
O3D_run (O3D ICGC_WGS_ESCA_ESAD_UK_2019)	968.7%	53.3 GB	23m 27s
O3D_run (O3D ICGC_WGS_ESCA_ESCA_CN_2019)	352.2%	24.8 GB	25.3s
O3D_run (O3D ICGC_WGS_HCC_LICA_CN_VARSCAN_2019)	705.0%	28.8 GB	1m 20s
O3D_run (O3D ICGC_WGS_HCC_LICA_FR_2019)	646.2%	30.7 GB	2m 25s
O3D_run (O3D ICGC_WGS_LMS_LMS_FR_2019)	453.4%	38.9 GB	1m 32s
O3D_run (O3D ICGC_WGS_LNM_NKTL_SG_2019)	449.7%	26.1 GB	35s
O3D_run (O3D ICGC_WGS_LUSC_LUSC_CN_2019)	202.6%	23.9 GB	14.8s
O3D_run (O3D ICGC_WGS_LUSC_LUSC_KR_2019)	921.1%	35.3 GB	3m 56s
O3D_run (O3D ICGC_WGS_MEL_MELA_AU_2019)	1009.8%	48.5 GB	15m 8s
O3D_run (O3D ICGC_WGS_MEL_SKCA_BR_2019)	838.0%	28.8 GB	2m 1s
O3D_run (O3D ICGC_WGS_MLYM_MALY_DE_AD_2019)	822.7%	32.7 GB	4m 21s
O3D_run (O3D ICGC_WGS_MLYM_MALY_DE_PED_2019)	352.8%	24.8 GB	25.2s
O3D_run (O3D ICGC_WGS_NPC_ORCA_IN_2019)	322.8%	25.7 GB	27.7s
O3D_run (O3D ICGC_WGS_OVT_OV_AU_2019)	431.6%	25.7 GB	31.7s
O3D_run (O3D ICGC_WGS_PAAD_PACA_AU_2019)	694.2%	26.1 GB	1m 24s
O3D_run (O3D ICGC_WGS_PAAD_PACA_CA_2019)	528.3%	28.9 GB	1m 36s
O3D_run (O3D ICGC_WGS_PRAD_EOPC_DE_2019)	769.0%	29.5 GB	1m 27s
O3D_run (O3D ICGC_WGS_PRAD_PRAD_FR_2019)	383.4%	25.6 GB	26.4s
O3D_run (O3D ICGC_WGS_PRAD_PRAD_UK_2019)	480.8%	26.2 GB	1m 28s
O3D_run (O3D ICGC_WGS_UCS_UTCA_FR_2019)	219.8%	24 GB	15s
O3D_run (O3D ICGC_WXS_AML_LAML_CN_2019)	343.4%	25 GB	19.3s
O3D_run (O3D ICGC_WXS_AML_LAML_KR_2019)	900.7%	28.3 GB	1m 10s
O3D_run (O3D ICGC_WXS_AML_LAML_KR_VARSCAN_2019)	1062.4%	31.7 GB	3m 35s
O3D_run (O3D ICGC_WXS_BLCA_BLCA_CN_2019)	943.7%	34.7 GB	7m 15s
O3D_run (O3D ICGC_WXS_BRCA_BRCA_KR_2019)	705.1%	27 GB	1m 2s
O3D_run (O3D ICGC_WXS_BRCA_BRCA_UK_2019)	813.1%	27.7 GB	2m 20s
O3D_run (O3D ICGC_WXS_CCRCC_RECA_CN_2019)	137.8%	23.5 GB	10.8s
O3D_run (O3D ICGC_WXS_CHOL_BTCA_JP_2019)	848.3%	32.4 GB	7m 11s
O3D_run (O3D ICGC_WXS_CLLSLL_CLLE_ES_2019)	407.4%	24.7 GB	34.8s
O3D_run (O3D ICGC_WXS_CML_CMDI_UK_2019)	163.9%	24.4 GB	14.4s
O3D_run (O3D ICGC_WXS_COADREAD_COCA_CN_CASPOINT_2019)	684.4%	27.2 GB	1m 38s
O3D_run (O3D ICGC_WXS_COADREAD_COCA_CN_TORRENT_2019)	455.2%	25.9 GB	41.9s
O3D_run (O3D ICGC_WXS_COADREAD_COCA_CN_VARSCAN_2019)	988.9%	34.3 GB	6m 26s
O3D_run (O3D ICGC_WXS_ESCA_ESCA_CN_2019)	927.3%	34.9 GB	8m 49s
O3D_run (O3D ICGC_WXS_GBM_GBM_CN_2019)	645.8%	25.8 GB	59.6s
O3D_run (O3D ICGC_WXS_HCC_LIAD_FR_2019)	281.3%	23.9 GB	17.1s
O3D_run (O3D ICGC_WXS_HCC_LICA_CN_STRELKA_2019)	1218.5%	60.1 GB	2h 13m 51s
O3D_run (O3D ICGC_WXS_HCC_LICA_CN_VARSCAN_2019)	1062.8%	36.7 GB	9m 56s
O3D_run (O3D ICGC_WXS_HCC_LICA_FR_2019)	900.9%	33.6 GB	7m 8s
O3D_run (O3D ICGC_WXS_HCC_LIHM_FR_2019)	141.3%	1.6 GB	6.8s
O3D_run (O3D ICGC_WXS_HCC_LINC_JP_2019)	1050.2%	37.8 GB	11m 12s
O3D_run (O3D ICGC_WXS_LUSC_LUSC_KR_2019)	999.9%	31.1 GB	3m 5s
O3D_run (O3D ICGC_WXS_NPC_ORCA_IN_2019)	860.7%	31.4 GB	6m 17s
O3D_run (O3D ICGC_WXS_OS_BOCA_UK_2019)	519.1%	25.9 GB	34.7s
O3D_run (O3D ICGC_WXS_PAAD_PACA_AU_2019)	707.4%	26 GB	1m 22s
O3D_run (O3D ICGC_WXS_PAAD_PACA_CA_2019)	587.0%	25.9 GB	57s
O3D_run (O3D ICGC_WXS_STAD_GACA_CN_2019)	826.4%	32.7 GB	2m 22s
O3D_run (O3D ICGC_WXS_WDTC_THCA_CN_2019)	1187.7%	50.9 GB	47m 42s
O3D_run (O3D ICGC_WXS_WDTC_THCA_SA_2019)	880.7%	33 GB	2m
O3D_run (O3D OTHER_WGS_BRCA_SCANB_TNBC_2019)	769.1%	35 GB	6m 4s
O3D_run (O3D OTHER_WGS_DLBCL_NATCOM_2018)	955.4%	38 GB	7m 56s
O3D_run (O3D OTHER_WGS_LNET_IARC_2023)	583.6%	27.5 GB	54.2s
O3D_run (O3D OTHER_WGS_MM_NATLEUK2018)	977.4%	52.2 GB	35m 17s
O3D_run (O3D OTHER_WGS_PBCA_DE_MB)	650.9%	26.7 GB	1m 4s
O3D_run (O3D OTHER_WGS_PBCA_DE_PIA)	893.0%	31.7 GB	3m 25s
O3D_run (O3D OTHER_WGS_PLMESO_MESOMICS_2016)	836.8%	28.1 GB	1m 35s
O3D_run (O3D OTHER_WGS_PLMESO_MESOMICS_2023)	426.4%	25.5 GB	41.6s
O3D_run (O3D OTHER_WGS_PRAD_CPGEA_2021)	825.1%	32.5 GB	3m 39s
O3D_run (O3D OTHER_WXS_AML_PRY_BEAT_2018)	1042.1%	36.2 GB	5m 6s
O3D_run (O3D OTHER_WXS_NBL_SCIENCE_COLOGNE_2018)	522.1%	24.9 GB	37.5s
O3D_run (O3D OTHER_WXS_NPC_NATCOM2017)	768.0%	30.5 GB	4m 31s
O3D_run (O3D OTHER_WXS_SCC_NATCOM2018)	1097.1%	46.8 GB	20m 55s
O3D_run (O3D PCAWG_WGS_BILIARY_ADENOCA)	553.5%	26.7 GB	1m 4s
O3D_run (O3D PCAWG_WGS_BLADDER_TCC)	721.7%	29.9 GB	2m 10s
O3D_run (O3D PCAWG_WGS_BONE_LEIOMYO)	434.9%	25.2 GB	43.5s
O3D_run (O3D PCAWG_WGS_BONE_OSTEOSARC)	285.9%	24.8 GB	41.8s
O3D_run (O3D PCAWG_WGS_BREAST_ADENOCA)	835.9%	34.1 GB	5m 33s
O3D_run (O3D PCAWG_WGS_BREAST_LOBULARCA)	315.5%	25.1 GB	19.8s
O3D_run (O3D PCAWG_WGS_CERVIX_SCC)	318.9%	24.9 GB	27.4s
O3D_run (O3D PCAWG_WGS_CNS_GBM)	505.2%	25.3 GB	56s
O3D_run (O3D PCAWG_WGS_CNS_MEDULLO)	535.5%	26.5 GB	1m
O3D_run (O3D PCAWG_WGS_CNS_OLIGO)	240.5%	24.3 GB	21.2s
O3D_run (O3D PCAWG_WGS_CNS_PILOASTRO)	238.0%	23.8 GB	16.7s
O3D_run (O3D PCAWG_WGS_COLORECT_ADENOCA)	760.4%	28.7 GB	2m 32s
O3D_run (O3D PCAWG_WGS_ESO_ADENOCA)	895.4%	37.2 GB	7m 17s
O3D_run (O3D PCAWG_WGS_HEAD_SCC)	732.1%	29.6 GB	2m 19s
O3D_run (O3D PCAWG_WGS_KIDNEY_CHRCC)	222.4%	24.7 GB	21.6s
O3D_run (O3D PCAWG_WGS_KIDNEY_RCC)	787.7%	30.5 GB	3m 45s
O3D_run (O3D PCAWG_WGS_LIVER_HCC)	957.6%	44.5 GB	13m 31s
O3D_run (O3D PCAWG_WGS_LUNG_ADENOCA)	684.2%	30 GB	2m 23s
O3D_run (O3D PCAWG_WGS_LUNG_SCC)	854.6%	35.8 GB	5m 57s
O3D_run (O3D PCAWG_WGS_LYMPH_BNHL)	818.6%	32.3 GB	3m 28s
O3D_run (O3D PCAWG_WGS_LYMPH_CLL)	541.0%	25.9 GB	41.3s
O3D_run (O3D PCAWG_WGS_MYELOID_AML)	197.1%	23.6 GB	15.6s
O3D_run (O3D PCAWG_WGS_MYELOID_MPN)	151.5%	23.8 GB	12.3s
O3D_run (O3D PCAWG_WGS_OVARY_ADENOCA)	790.7%	32.3 GB	3m 17s
O3D_run (O3D PCAWG_WGS_PANC_ADENOCA)	915.2%	32.3 GB	5m 2s
O3D_run (O3D PCAWG_WGS_PANC_ENDOCRINE)	530.4%	26.3 GB	47.8s
O3D_run (O3D PCAWG_WGS_PROST_ADENOCA)	711.1%	28.6 GB	2m 19s
O3D_run (O3D PCAWG_WGS_SKIN_MELANOMA)	1018.9%	58 GB	27m 10s
O3D_run (O3D PCAWG_WGS_STOMACH_ADENOCA)	719.4%	28.4 GB	2m 3s
O3D_run (O3D PCAWG_WGS_THY_ADENOCA)	315.6%	24.7 GB	28.8s
O3D_run (O3D PCAWG_WGS_UTERUS_ADENOCA)	695.5%	29.8 GB	1m 18s
O3D_run (O3D PEDCBIOP_WGS_ES_IOCURIE_2014)	293.4%	25.8 GB	25.2s
O3D_run (O3D PEDCBIOP_WXS_ACC_PRY)	141.0%	23.6 GB	12.8s
O3D_run (O3D PEDCBIOP_WXS_AML_PRY)	205.6%	24.1 GB	14.1s
O3D_run (O3D PEDCBIOP_WXS_ATRT_PRY)	137.4%	1.5 GB	7.4s
O3D_run (O3D PEDCBIOP_WXS_BALL_PRY)	151.5%	17.1 GB	10.9s
O3D_run (O3D PEDCBIOP_WXS_BALL_REL)	434.4%	25.2 GB	38.2s
O3D_run (O3D PEDCBIOP_WXS_BLY_PRY)	378.4%	24.9 GB	23s
O3D_run (O3D PEDCBIOP_WXS_EPD_PRY)	220.9%	23.6 GB	15s
O3D_run (O3D PEDCBIOP_WXS_EWS_PRY)	137.1%	23.7 GB	11.7s
O3D_run (O3D PEDCBIOP_WXS_EWS_REL)	154.3%	23.5 GB	10.7s
O3D_run (O3D PEDCBIOP_WXS_HCB_PRY)	157.5%	24 GB	13.2s
O3D_run (O3D PEDCBIOP_WXS_HGG_PRY)	718.2%	26.2 GB	1m 12s
O3D_run (O3D PEDCBIOP_WXS_HGG_REL)	332.4%	24.6 GB	20.7s
O3D_run (O3D PEDCBIOP_WXS_MBL_BROAD_2012)	419.7%	25 GB	39.5s
O3D_run (O3D PEDCBIOP_WXS_MBL_GP3_PRY)	420.3%	25.3 GB	32.5s
O3D_run (O3D PEDCBIOP_WXS_MBL_GP4_PRY)	570.7%	28.3 GB	1m 1s
O3D_run (O3D PEDCBIOP_WXS_MBL_SHH_PRY)	291.1%	24.7 GB	21.2s
O3D_run (O3D PEDCBIOP_WXS_MBL_WNT_PRY)	344.7%	24.5 GB	18.5s
O3D_run (O3D PEDCBIOP_WXS_NBL_PRY)	111.4%	1.8 GB	21.6s
O3D_run (O3D PEDCBIOP_WXS_NBL_UCOLOGNE_2015)	272.6%	25 GB	19.4s
O3D_run (O3D PEDCBIOP_WXS_OS_PRY)	352.2%	25 GB	22s
O3D_run (O3D PEDCBIOP_WXS_PIA_PRY)	326.4%	25.1 GB	19.5s
O3D_run (O3D PEDCBIOP_WXS_RB_PRY)	134.1%	1.6 GB	14s
O3D_run (O3D PEDCBIOP_WXS_RHBDS_PRY)	138.6%	1.6 GB	7.1s
O3D_run (O3D PEDCBIOP_WXS_WT_PRY)	265.0%	23.6 GB	16.9s
O3D_run (O3D STJUDE_WGS_D_ACC_2018)	234.9%	1.6 GB	15.9s
O3D_run (O3D STJUDE_WGS_D_ALL_2018)	691.3%	27.9 GB	1m 24s
O3D_run (O3D STJUDE_WGS_D_AML_2018)	238.0%	24 GB	18.1s
O3D_run (O3D STJUDE_WGS_D_CM_2018)	359.4%	24.9 GB	27.3s
O3D_run (O3D STJUDE_WGS_D_EPD_2018)	297.4%	25.3 GB	24.6s
O3D_run (O3D STJUDE_WGS_D_EWS_2018)	134.2%	15.8 GB	11.5s
O3D_run (O3D STJUDE_WGS_D_HGG_2018)	252.6%	24.5 GB	19.3s
O3D_run (O3D STJUDE_WGS_D_LGG_2018)	315.7%	25.3 GB	19.1s
O3D_run (O3D STJUDE_WGS_D_MB_2018)	357.2%	25.8 GB	25.3s
O3D_run (O3D STJUDE_WGS_D_NB_2018)	334.5%	24.8 GB	32s
O3D_run (O3D STJUDE_WGS_D_OS_2018)	357.1%	25.6 GB	30.1s
O3D_run (O3D STJUDE_WGS_D_RB_2018)	146.6%	1.6 GB	9.5s
O3D_run (O3D STJUDE_WGS_D_RHBDS_2018)	212.6%	23.8 GB	15.4s
O3D_run (O3D STJUDE_WGS_M_OS_2018)	196.4%	24.5 GB	22s
O3D_run (O3D STJUDE_WGS_R_ALL_2018)	135.4%	1.5 GB	7.5s
O3D_run (O3D STJUDE_WGS_R_NB_2018)	297.6%	25.2 GB	20.8s
O3D_run (O3D TARGET_WGS_NBL_US)	798.7%	27.7 GB	2m 1s
O3D_run (O3D TARGET_WGS_WT_US)	181.0%	1.6 GB	15.6s
O3D_run (O3D TARGET_WXS_AML_2020)	233.5%	23.6 GB	16s
O3D_run (O3D TARGET_WXS_OS_2020)	777.8%	27.6 GB	1m 43s
O3D_run (O3D TCGA_WXS_ACC)	729.2%	26.3 GB	1m 55s
O3D_run (O3D TCGA_WXS_AML)	831.1%	32.4 GB	2m 45s
O3D_run (O3D TCGA_WXS_BLCA)	1096.0%	53.7 GB	47m 42s
O3D_run (O3D TCGA_WXS_BRCA)	1133.7%	51.6 GB	32m 57s
O3D_run (O3D TCGA_WXS_CCRCC)	912.7%	35.5 GB	12m 45s
O3D_run (O3D TCGA_WXS_CESC)	1092.2%	41.1 GB	17m 18s
O3D_run (O3D TCGA_WXS_CHOL)	481.7%	26.4 GB	54.6s
O3D_run (O3D TCGA_WXS_CHRCC)	434.5%	26.1 GB	47.3s
O3D_run (O3D TCGA_WXS_COADREAD)	1122.3%	49.5 GB	32m 10s
O3D_run (O3D TCGA_WXS_DLBCLNOS)	766.5%	27.5 GB	2m 19s
O3D_run (O3D TCGA_WXS_ESCA)	1027.3%	39.2 GB	13m 22s
O3D_run (O3D TCGA_WXS_GBM)	978.2%	41.5 GB	17m 40s
O3D_run (O3D TCGA_WXS_HCC)	1011.0%	44.2 GB	23m 46s
O3D_run (O3D TCGA_WXS_HNSC)	1187.6%	50.2 GB	34m 28s
O3D_run (O3D TCGA_WXS_LGGNOS)	347.1%	37.2 GB	28m 32s
O3D_run (O3D TCGA_WXS_LUAD)	1084.4%	54.2 GB	1h 4m 34s
O3D_run (O3D TCGA_WXS_LUSC)	1082.8%	53 GB	1h 1m 34s
O3D_run (O3D TCGA_WXS_MEL)	1247.9%	57.6 GB	1h 47m 6s
O3D_run (O3D TCGA_WXS_MGCT)	678.5%	26.8 GB	53.1s
O3D_run (O3D TCGA_WXS_OVT)	1010.9%	44 GB	21m 6s
O3D_run (O3D TCGA_WXS_PAAD)	861.3%	30.4 GB	3m 17s
O3D_run (O3D TCGA_WXS_PGNG)	287.4%	25 GB	1m 31s
O3D_run (O3D TCGA_WXS_PLMESO)	294.1%	26.9 GB	2m 16s
O3D_run (O3D TCGA_WXS_PRAD)	867.4%	40.6 GB	9m 47s
O3D_run (O3D TCGA_WXS_PRCC)	601.0%	36.7 GB	18m 46s
O3D_run (O3D TCGA_WXS_SOFT_TISSUE)	634.3%	34.6 GB	10m 19s
O3D_run (O3D TCGA_WXS_STAD)	1158.7%	48.2 GB	29m 48s
O3D_run (O3D TCGA_WXS_THYM)	548.9%	26.3 GB	1m 10s
O3D_run (O3D TCGA_WXS_UCEC)	1216.6%	52.5 GB	45m 23s
O3D_run (O3D TCGA_WXS_UCS)	612.1%	26.5 GB	1m 36s
O3D_run (O3D TCGA_WXS_UM)	385.0%	26 GB	50s
O3D_run (O3D TCGA_WXS_WDTC)	786.8%	29.9 GB	3m 44s
